title,author,genre,image
Komplet - Čudesni svet životinja,"Dušan Krtolica,Mojra Baterfild,Ester Ernando,Marija Manjeru",Specijalna ponuda,https://laguna.rs/_img/korice/5866/komplet_-_cudesni_svet_zivotinja-mojra_baterfild_s.jpg
Komplet - Bleferski vodič,"Suzi Bonifejs,Rebeka Njuman,Džonatan Gudol,Hari Ers",Specijalna ponuda,https://laguna.rs/_img/korice/5539/komplet_-_bleferski_vodic-suzi_bonifejs-_rebeka_njuman-_dzonatan_gudol-_hari_ers_s.jpg
Komplet – Okean od papira,Zoran Penevski,Specijalna ponuda,https://laguna.rs/_img/korice/5538/komplet_okean_od_papira-zoran_penevski_s.jpg
Komplet – Učimo engleski,"Grupa autora,Ben Frankon Dejvis",Specijalna ponuda,https://laguna.rs/_img/korice/5360/komplet_ucimo_engleski-grupa_autora-_ben_frankon_dejvis_s.jpg
Komplet - Mališani,"Grupa autora,Suzi Lin",Specijalna ponuda,https://laguna.rs/_img/korice/5359/komplet_-_malisani-grupa_autora-_suzi_lin_s.jpg
Komplet – Psihološki trileri,"Patriša Hajsmit,Sara Bledel,Ksavije de Mulen,Delfin de Vigan,Ida Linde",Specijalna ponuda,https://laguna.rs/_img/korice/5358/komplet_-_psiholoski_trileri-patrisa_hajsmit-_sara_bledel-_ksavije_de_mulen-_delfin_de_vigan-_ida_linde_s.jpg
Komplet - Zdravi i srećni,"Staniša Stojiljković,Ana Gifing,Andreas Mihalsen,Bas Kast,Stiven R. Gandri",Specijalna ponuda,https://laguna.rs/_img/korice/5357/komplet_-_zdravi_i_srecni_s.jpg
Komplet - Romani godine,"Nejtan Hil,Elizabet Maknil,Tafi Brodeser-Akner",Specijalna ponuda,https://laguna.rs/_img/korice/5356/komplet_-_romani_godine-nejtan_hil-_elizabet_maknil-_tafi_brodeser-akner_s.jpg
Komplet - Stvarnije od stvarnosti,"Barbara Kingsolver,Rohinton Mistri,Makis Citas,Selest Ing,Dajna Džefriz,Ketrin Baner,Adelaid de Klermon-Toner,Beatriz Vilijams",Specijalna ponuda,https://laguna.rs/_img/korice/5355/komplet_-_stvarnije_od_stvarnosti_s.jpg
Slikovnica – Škola radosti gospođice Mile,Grupa autora,Slikovnice,https://laguna.rs/_img/korice/6774/slikovnica_skola_radosti_gospodjice_mile-grupa_autora_s.png
Slikovnica – E baš mogu!,Grupa autora,Slikovnice,https://laguna.rs/_img/korice/6772/slikovnica_e_bas_mogu-grupa_autora_s.jpg
Slikovnica – Nikuda,Kris Sonders,Slikovnice,https://laguna.rs/_img/korice/6788/slikovnica_nikuda_s.png
Slikovnica – Veruj,Kris Sonders,Slikovnice,https://laguna.rs/_img/korice/6789/slikovnica_veruj-kris_sonders_s.png
Slikovnica – Vitez Sovuljak i Ptica Ranoranilica,Kristofer Denis,Slikovnice,https://laguna.rs/_img/korice/6893/slikovnica_vitez_sovuljak_i_ptica_ranoranilica-kristofer_denis_s.png
Ponoćni cirkus,Uroš Petrović,Slikovnice,https://laguna.rs/_img/korice/6782/slikovnica_ponocni_cirkus-uros_petrovic_s.jpg
Slikovnica – Igor,Frančeska Dafne Vinjaga,Slikovnice,https://laguna.rs/_img/korice/6709/igor_s.png
Bajka o Ledemonu,Uroš Petrović,Slikovnice,https://laguna.rs/_img/korice/6669/bajka_o_ledemonu_s.png
Slikovnica – Srećne porodice 2,Ana Grigorjev,Slikovnice,https://laguna.rs/_img/korice/6677/srecne_porodice_2-ana_grigorjev_s.png
Slikovnica – Singi Lumba i Kamena Kraljica,Slavimir Stojanović Futro,Slikovnice,https://laguna.rs/_img/korice/6676/singi_lumba_i_kamena_kraljica_s.jpg
Slikovnica – Gostiona na kraju šumarka,Majki Pliz,Slikovnice,https://laguna.rs/_img/korice/6502/gostiona_na_kraju_sumarka-majki_pliz_s.png
Slikovnica – Gde je jednom bio zec,"Tomas Dokerti,Džon Doherti",Slikovnice,https://laguna.rs/_img/korice/6253/gde_je_jednom_bio_zec_s.jpg
